A,B,X,Thickness,Bandgap,Voc,Jsc,FF,PCE
6.588116255415245e-07,3.1811894543231145e-06,6.721054800726186e-05,4.5077161614348784e-05,2.589439635098533e-05,0.00012834575349559253,1.554579703515649e-05,5.367018696751109e-06,5.1634151678650956e-05
1.0694221189301157e-06,7.5618480029204e-06,0.00026184331056065775,7.88924513454039e-05,6.0008890052726215e-05,0.00028248216977091626,2.4509286074116665e-05,5.6941636003961894e-05,7.656282784303138e-05
1.6902159223704544e-06,1.638792211053098e-05,0.00079923285654518,0.00013492165207938748,0.0001304692612655528,0.0005860138951582935,3.791322413663833e-05,0.00034449679756985,0.00011182992351214332
2.601918188566413e-06,3.238003969493433e-05,0.0019113181115200466,0.00022565356796892168,0.0002662859027948239,0.0011459979721242166,5.754753802915285e-05,0.0012195582044801096,0.0001609101851209129
3.903291622525636e-06,5.8329519732874756e-05,0.0035811327501932256,0.0003693717874623478,0.0005106060839337391,0.0021129348156494992,8.571876959554603e-05,0.002672008897762315,0.00022809898651955895
5.71070853291543e-06,9.579811474342557e-05,0.0052569720129064515,0.0005922157660661405,0.000920844131064725,0.003673691110206855,0.00012530820844965787,0.004290183189349123,0.0003185731935044301
8.15759201077274e-06,0.00014344422302424664,0.006046147097741115,0.0009306754007370349,0.001564099718822017,0.006024893678543878,0.0001797974118653193,0.007150104748285699,0.000438405605468788
1.1396127715621496e-05,0.00019582435309534668,0.00544815622645597,0.001434451413233887,0.0025069015139569575,0.009323530596822546,0.000253243830289101,0.0142914562418205,0.0005945145601658898
1.5605738418123916e-05,0.00024372937605641603,0.0038463446420488384,0.0021694935439169204,0.0038008861470136884,0.013620790512770358,0.0003501894465599539,0.027105114174409715,0.0007945312285486076
2.101533261269648e-05,0.0002765709687945906,0.002127524832904415,0.00322085638587778,0.005469275039344793,0.01879728109505913,0.0004754885319889857,0.04394107417799093,0.00104657073628418
2.7948814380781707e-05,0.00028612963664724993,0.00092199566660667,0.004694799570513083,0.007501124164884421,0.024526832167379588,0.0006340473799390712,0.06572840094039493,0.0013588998831636915
