DeltaH,DeltaL,Grain_size
-0.13599162749169674,-0.11216829956357893,-0.28982257778940657
-0.1298510081199209,-0.10702087946746257,-0.27133189861564366
-0.12371038874814505,-0.10187345937134619,-0.2528412194418808
-0.1175697693763692,-0.09672603927522982,-0.2343505402681179
-0.11142915000459336,-0.09157861917911345,-0.21585986109435504
-0.10528853063281751,-0.08643119908299708,-0.19736918192059216
-0.09914791126104167,-0.08128377898688072,-0.17887850274682926
-0.09300729188926582,-0.07613635889076434,-0.16038782357306638
-0.08686667251748997,-0.07098893879464796,-0.1418971443993035
-0.08072605314571413,-0.0658415186985316,-0.12340646522554063
-0.07458543377393828,-0.060694098602415224,-0.10491578605177776
-0.06844481440216242,-0.05554667850629885,-0.08642510687801486
-0.062304195030386575,-0.05039925841018249,-0.06793442770425198
-0.05616357565861073,-0.04525183831406611,-0.04944374853048911
-0.05002295628683488,-0.040104418217949744,-0.030953069356726204
-0.043882336915059036,-0.034956998121833366,-0.012462390182963357
-0.03774171754328319,-0.029809578025717,0.006028288990799546
-0.031601098171507344,-0.024662157929600637,0.02451896816456245
-0.025460478799731498,-0.019514737833484258,0.043009647338325296
-0.019319859427955652,-0.014367317737367893,0.0615003265120882
-0.013179240056179806,-0.009219897641251515,0.07999100568585105
-0.007038620684403946,-0.00407247754513515,0.09848168485961395
-0.0008980013126280995,0.0010749425509812283,0.11697236403337685
0.005242618059147747,0.006222362647097593,0.1354630432071397
0.011383237430923593,0.011369782743213958,0.1539537223809026
0.01752385680269944,0.016517202839330336,0.1724444015546655
0.023664476174475285,0.021664622935446715,0.19093508072842835
0.02980509554625113,0.026812043031563065,0.20942575990219126
0.03594571491802698,0.031959463127679444,0.22791643907595416
0.042086334289802824,0.03710688322379582,0.24640711824971706
0.04822695366157867,0.0422543033199122,0.26489779742347985
0.054367573033354516,0.04740172341602855,0.28338847659724276
0.06050819240513036,0.05254914351214493,0.30187915577100566
0.06664881177690621,0.05769656360826131,0.32036983494476856
0.07278943114868205,0.06284398370437766,0.33886051411853146
0.0789300505204579,0.06799140380049404,0.35735119329229426
0.08507066989223375,0.07313882389661042,0.37584187246605716
0.09121128926400959,0.0782862439927268,0.39433255163982006
0.09735190863578544,0.08343366408884315,0.41282323081358296
0.10349252800756129,0.08858108418495952,0.43131390998734587
0.10963314737933713,0.0937285042810759,0.44980458916110866
0.115773766751113,0.09887592437719225,0.46829526833487156
0.12191438612288885,0.10402334447330863,0.48678594750863446
0.1280550054946647,0.10917076456942501,0.5052766266823974
0.13419562486644054,0.11431818466554139,0.5237673058561603
0.1403362442382164,0.11946560476165774,0.5422579850299232
0.14647686360999224,0.12461302485777412,0.560748664203686
0.15261748298176808,0.1297604449538905,0.5792393433774489
0.15875810235354393,0.13490786505000685,0.5977300225512118
0.16489872172531977,0.14005528514612325,0.6162207017249747
