DeltaH,DeltaL,Grain_size
0.0016706015953306748,0.012072607016050774,0.0027231069397914667
0.0025099856820549474,0.018147304465483405,0.004166765113798106
0.003705202163344988,0.026774967886257058,0.006252149902402793
0.005374531405628568,0.03877635111312213,0.009200096246966358
0.007661475582565973,0.05512439709365675,0.013277950546400404
0.010734796867738058,0.07692727704797457,0.01879733931081267
0.014786489698322363,0.10539028262621405,0.026106523116416487
0.020027330046580926,0.14175315195710744,0.03557636612441216
0.02667992071605546,0.18720181458660917,0.04757965304422858
0.034969548913284035,0.24275702125611318,0.06246452012032126
0.04511365330415742,0.3091465997880864,0.08052404554850524
0.057311190538874277,0.3866725959100461,0.10196538827504699
0.07173359383882512,0.475088532942202,0.1268830137440593
0.08851921080798295,0.5735045477211618,0.15524119881257467
0.10777298411332352,0.6803383706662047,0.18687087882312564
0.1295726249685723,0.7933274112295623,0.22148478752163012
0.15398162166886392,0.9096114386371292,0.2587127006801023
0.18106821066349857,1.0258869565623079,0.2981555857189173
0.2109280991369779,1.1386244170233948,0.339453953607729
0.24370752808696686,1.2443294519490387,0.38236225144019176
0.2796225021910465,1.3398210998577345,0.42681836086081165
0.31896995945932155,1.4224952268464484,0.47299579251841795
0.3621274828768103,1.4905411503709571,0.5213264595831731
0.40953987684162396,1.5430842487922953,0.5724841984083501
0.46169334821595803,1.5802365305840986,0.6273234003806517
0.5190807477381147,1.6030493322563315,0.6867728311728952
0.5821637928865825,1.61337549942147,0.7516912767865812
0.6513398031974511,1.6136603688432793,0.8226982161746936
0.7269207012615607,1.606689650914924,0.8999983400677098
0.809130541587086,1.5953265927611078,0.9832225058634358
0.8981246161032053,1.582270138501284,1.0713088714496295
0.9940286131877648,1.569860658334211,1.1624459696610514
1.0969910963746738,1.5599513945840444,1.254094206583089
1.2072376976997203,1.5538537021993761,1.3430939693459036
1.3251119604069101,1.552354137745196,1.4258579840056105
1.4510866742876252,1.5557929026626065,1.4986340239194824
1.5857314600011514,1.56418701493643,1.557813161062615
1.729627422777207,1.5773782460366619,1.6002502669548258
1.8832274800999673,1.5951851892581677,1.6235590544961453
2.0466704798032107,1.6175403408105598,1.626344767217654
2.219567034442067,1.6445961338520236,1.6083440306423116
2.400783453796047,1.676787839086976,1.570452761526658
