A,B,X,Thickness,Bandgap,Voc,Jsc,FF,PCE
-2.889828742764459,-2.903665795335667,-1.128384634900506,-0.1029202128043409,1.0732099504133679,-0.13508084328905,-3.4452706280529166,-0.06535520166844844,-3.898647117940282
-2.8627952880633085,-2.8830259380961123,-1.1072450908311542,-0.0969458890575636,1.0807656293036858,-0.12389410114544147,-3.2579613755096712,-0.03942198356122785,-3.7347399853780683
-2.835761833362158,-2.8623860808565578,-1.0861055467618024,-0.0909715653107863,1.0883213081940037,-0.11270735900183293,-3.070652122966426,-0.013488765454007262,-3.570832852815854
-2.8087283786610078,-2.8417462236170037,-1.0649660026924506,-0.08499724156400901,1.0958769870843217,-0.10152061685822439,-2.8833428704231805,0.012444452653213325,-3.4069257202536405
-2.7816949239598574,-2.821106366377449,-1.0438264586230988,-0.07902291781723171,1.1034326659746394,-0.09033387471461585,-2.696033617879935,0.03837767076043391,-3.2430185876914264
-2.754661469258707,-2.8004665091378946,-1.022686914553747,-0.07304859407045441,1.1109883448649573,-0.0791471325710073,-2.5087243653366897,0.06431088886765451,-3.0791114551292127
-2.7276280145575567,-2.77982665189834,-1.0015473704843951,-0.06707427032367713,1.1185440237552753,-0.06796039042739875,-2.321415112793444,0.09024410697487509,-2.915204322566999
-2.7005945598564063,-2.7591867946587856,-0.9804078264150433,-0.06109994657689983,1.1260997026455932,-0.05677364828379021,-2.134105860250199,0.11617732508209566,-2.751297190004785
-2.6735611051552564,-2.7385469374192315,-0.9592682823456915,-0.05512562283012253,1.1336553815359112,-0.04558690614018167,-1.9467966077069534,0.14211054318931626,-2.587390057442571
-2.646527650454106,-2.717907080179677,-0.9381287382763397,-0.049151299083345236,1.141211060426229,-0.03440016399657313,-1.759487355163708,0.16804376129653686,-2.423482924880357
-2.6194941957529556,-2.6972672229401224,-0.9169891942069879,-0.04317697533656794,1.148766739316547,-0.023213421852964586,-1.5721781026204626,0.19397697940375747,-2.2595757923181434
-2.5924607410518052,-2.676627365700568,-0.895849650137636,-0.03720265158979065,1.156322418206865,-0.012026679709356045,-1.384868850077217,0.219910197510978,-2.0956686597559293
-2.565427286350655,-2.6559875084610134,-0.8747101060682841,-0.031228327843013354,1.1638780970971827,-0.0008399375657474895,-1.1975595975339717,0.2458434156181986,-1.9317615271937156
-2.5383938316495045,-2.6353476512214593,-0.8535705619989323,-0.025254004096236057,1.1714337759875006,0.010346804577861052,-1.0102503449907263,0.2717766337254192,-1.7678543946315015
-2.511360376948354,-2.614707793981905,-0.8324310179295805,-0.01927968034945876,1.1789894548778186,0.021533546721469593,-0.8229410924474809,0.29770985183263976,-1.6039472620692878
-2.4843269222472038,-2.5940679367423503,-0.8112914738602287,-0.013305356602681465,1.1865451337681365,0.032720288865078134,-0.6356318399042356,0.32364306993986036,-1.4400401295070737
-2.4572934675460534,-2.5734280795027957,-0.7901519297908769,-0.007331032855904168,1.1941008126584545,0.043907031008686676,-0.4483225873609902,0.34957628804708096,-1.27613299694486
-2.430260012844903,-2.552788222263241,-0.7690123857215251,-0.0013567091091268718,1.2016564915487724,0.05509377315229522,-0.2610133348177448,0.37550950615430156,-1.1122258643826464
-2.4032265581437526,-2.532148365023687,-0.7478728416521733,0.004617614637650425,1.2092121704390904,0.06628051529590376,-0.07370408227449943,0.40144272426152217,-0.9483187318204322
-2.3761931034426023,-2.5115085077841326,-0.7267332975828215,0.010591938384427721,1.216767849329408,0.0774672574395123,0.11360517026874595,0.4273759423687427,-0.7844115992582186
-2.349159648741452,-2.490868650544578,-0.7055937535134696,0.016566262131205017,1.224323528219726,0.08865399958312084,0.3009144228119913,0.45330916047596337,-0.6205044666960045
-2.3221261940403015,-2.4702287933050235,-0.6844542094441177,0.022540585877982314,1.231879207110044,0.09984074172672938,0.4882236753552367,0.47924237858318386,-0.4565973341337908
-2.295092739339151,-2.449588936065469,-0.6633146653747659,0.028514909624759596,1.239434886000362,0.11102748387033792,0.6755329278984825,0.5051755966904045,-0.29269020157157666
-2.268059284638001,-2.428949078825915,-0.6421751213054141,0.034489233371536906,1.2469905648906798,0.12221422601394649,0.8628421804417274,0.5311088147976251,-0.12878306900936298
-2.2410258299368504,-2.4083092215863604,-0.6210355772360623,0.04046355711831419,1.2545462437809978,0.13340096815755503,1.0501514329849733,0.5570420329048457,0.03512406355285069
-2.2139923752357005,-2.387669364346806,-0.5998960331667105,0.0464378808650915,1.2621019226713157,0.14458771030116357,1.2374606855282182,0.5829752510120663,0.19903119611506437
-2.1869589205345497,-2.3670295071072514,-0.5787564890973587,0.05241220461186878,1.2696576015616334,0.15577445244477212,1.424769938071464,0.6089084691192869,0.36293832867727893
-2.1599254658333997,-2.346389649867697,-0.5576169450280068,0.05838652835864609,1.2772132804519514,0.16696119458838066,1.612079190614709,0.6348416872265075,0.5268454612394926
-2.1328920111322494,-2.3257497926281427,-0.536477400958655,0.06436085210542337,1.2847689593422693,0.1781479367319892,1.7993884431579548,0.660774905333728,0.6907525938017063
-2.105858556431099,-2.305109935388588,-0.5153378568893032,0.07033517585220068,1.2923246382325873,0.18933467887559774,1.9866976957011997,0.6867081234409486,0.85465972636392
-2.0788251017299486,-2.2844700781490337,-0.4941983128199514,0.07630949959897797,1.2998803171229052,0.20052142101920628,2.1740069482444455,0.7126413415481692,1.0185668589261345
-2.0517916470287982,-2.263830220909479,-0.4730587687505996,0.08228382334575528,1.3074359960132231,0.21170816316281482,2.3613162007876904,0.7385745596553898,1.1824739914883482
